key	eco	name_fr	name_en
d3 e5	A00	Ouverture Mieses : inversée Rat	Mieses Opening: Reversed Rat
d4 Na6	A40	Défense australienne	Australian Defense
d4 Nc6	A40	Défense Mikenas	Mikenas Defense
d4 Nf6	A45	Défense indienne	Indian Defense
d4 b5	A40	Défense polonaise	Polish Defense
d4 b6	A40	Défense anglaise	English Defense
d4 c5	A43	Défense Benoni : ancienne Benoni	Benoni Defense: Old Benoni
d4 d5	D00	Partie du pion dame	Queen's Pawn Game
d4 d6	A41	Partie du pion dame	Queen's Pawn Game
d4 e5	A40	Gambit Englund	Englund Gambit
d4 e6	A40	Défense Horwitz	Horwitz Defense
d4 f5	A80	Défense hollandaise	Dutch Defense
d4 g5	A40	Défense Borg : Gambit Borg	Borg Defense: Borg Gambit
d4 g6	A40	Partie du pion dame : Défense moderne	Queen's Pawn Game: Modern Defense
e4 Na6	B00	Défense Lemming	Lemming Defense
e4 Nc6	B00	Défense Nimzowitsch	Nimzowitsch Defense
e4 Nf6	B02	Défense Alekhine	Alekhine Defense
e4 Nh6	B00	Défense hippopotame	Hippopotamus Defense
e4 a5	B00	Défense Ware	Ware Defense
e4 a6	B00	Défense Saint-Georges	St. George Defense
e4 b6	B00	Défense Owen	Owen Defense
e4 c5	B20	Défense sicilienne	Sicilian Defense
e4 c6	B10	Défense Caro-Kann	Caro-Kann Defense
e4 d5	B01	Défense scandinave	Scandinavian Defense
e4 d6	B00	Défense Pirc	Pirc Defense
e4 e5	C20	Partie du pion roi	King's Pawn Game
e4 e6	C00	Défense française	French Defense
e4 f5	B00	Gambit Duras	Duras Gambit
e4 f6	B00	Défense Barnes	Barnes Defense
e4 g5	B00	Défense Borg	Borg Defense
e4 g6	B06	Défense moderne	Modern Defense
e4 h5	B00	Défense Goldsmith	Goldsmith Defense
e4 h6	B00	Défense Carr	Carr Defense
f4 Nh6	A02	Ouverture de l'oiseau (Bird) : Défense Horsefly	Bird Opening: Horsefly Defense
f4 b5	A02	Ouverture de l'oiseau (Bird) : Défense Myers	Bird Opening: Myers Defense
f4 d5	A03	Ouverture de l'oiseau (Bird) : Variante hollandaise	Bird Opening: Dutch Variation
f4 e5	A02	Ouverture de l'oiseau (Bird) : Gambit From's	Bird Opening: From's Gambit
f4 g5	A02	Ouverture de l'oiseau (Bird) : Gambit Hobbs	Bird Opening: Hobbs Gambit
g3 Nf6	A00	Ouverture hongroise : Défense indienne	Hungarian Opening: Indian Defense
g3 c5	A00	Ouverture hongroise : Sicilian Invitation	Hungarian Opening: Sicilian Invitation
g3 f5	A00	Ouverture hongroise : Défense hollandaise	Hungarian Opening: Dutch Defense
g3 g5	A00	Ouverture hongroise : Défense Myers	Hungarian Opening: Myers Defense
g3 g6	A00	Ouverture hongroise : Variante symétrique	Hungarian Opening: Symmetrical Variation
g3 h5	A00	Spéciale simultanée Lasker	Lasker Simul Special
g4 f5	A00	Ouverture Grob : Gambit Alessi	Grob Opening: Alessi Gambit
g4 g5	A00	Ouverture Grob : Double Grob	Grob Opening: Double Grob
h4 a5	A00	Ouverture Kádas : Variante Koola-Koola	Kádas Opening: Koola-Koola Variation
h4 g5	A00	Ouverture Kádas : Gambit Schneider	Kádas Opening: Schneider Gambit
Na3 g6 g4	A00	Attaque Sodium : Variante Chenoboskion	Sodium Attack: Chenoboskion Variation
Nc3 Nf6 g4	A00	Ouverture Van Geet : Gambit Tübingen	Van Geet Opening: Tübingen Gambit
Nc3 c5 Rb1	A00	Ouverture Van Geet : Attaque Twyble	Van Geet Opening: Twyble Attack
Nc3 c5 b4	A00	Ouverture Van Geet : Gambit Düsseldorf	Van Geet Opening: Düsseldorf Gambit
Nc3 g6 h4	A00	Ouverture Van Geet : Attaque Myers	Van Geet Opening: Myers Attack
Nf3 Nf6 b3	A05	Ouverture Zukertort : Variante Nimzo-Larsen	Zukertort Opening: Nimzo-Larsen Variation
Nf3 Nf6 e3	A05	Ouverture Zukertort : Système calme	Zukertort Opening: Quiet System
Nf3 Nf6 e4	A05	Ouverture Zukertort : Gambit Lemberger	Zukertort Opening: Lemberger Gambit
Nf3 d5 Nc3	A06	Ouverture Zukertort : Défense inversée Mexican	Zukertort Opening: Reversed Mexican Defense
Nf3 d5 Rg1	A06	Ouverture Zukertort : Variante Ampel	Zukertort Opening: Ampel Variation
Nf3 d5 a4	A06	Ouverture Zukertort : The Potato	Zukertort Opening: The Potato
Nf3 d5 b3	A06	Attaque Nimzo-Larsen : Variante classique	Nimzo-Larsen Attack: Classical Variation
Nf3 d5 c4	A09	Ouverture Réti	Réti Opening
Nf3 d5 d3	A06	Ouverture Zukertort : Attaque ancienne indienne	Zukertort Opening: Old Indian Attack
Nf3 d5 g3	A07	Attaque indienne du roi	King's Indian Attack
Nf3 f5 e4	A04	Ouverture Zukertort : Gambit Lisitsyn	Zukertort Opening: Lisitsyn Gambit
a3 a5 b4	A00	Ouverture Anderssen : Gambit polonaise	Anderssen's Opening: Polish Gambit
a3 e5 Nc3	A00	Ouverture Van Geet : Variante Battambang	Van Geet Opening: Battambang Variation
a4 e5 Ra3	A00	Ouverture Ware : Meadow Hay Trap	Ware Opening: Meadow Hay Trap
a4 e5 h4	A00	Ouverture Ware : Variante Crab	Ware Opening: Crab Variation
b3 d5 Ba3	A01	Attaque Nimzo-Larsen : Attaque Graz	Nimzo-Larsen Attack: Graz Attack
b4 d5 Nf3	A06	Ouverture Zukertort : Santasiere's Folly	Zukertort Opening: Santasiere's Folly
b4 e5 a3	A00	Ouverture polonaise (Orang-outan) : Attaque Bugayev	Polish Opening: Bugayev Attack
c4 Nf6 Nc3	A16	Ouverture anglaise : Défense Anglo-indienne, Variante Queen's cavalier	English Opening: Anglo-Indian Defense, Queen's Knight Variation
c4 Nf6 Nf3	A15	Ouverture anglaise : Défense Anglo-indienne, Variante King's cavalier	English Opening: Anglo-Indian Defense, King's Knight Variation
c4 Nf6 b4	A15	Anglaise Orang-outan	English Orangutan
c4 Nf6 e4	A10	Ouverture anglaise : Gambit Achilles-Omega	English Opening: Achilles-Omega Gambit
c4 c5 Nc3	A34	Ouverture anglaise : Variante symétrique, Variante Normal	English Opening: Symmetrical Variation, Normal Variation
c4 c5 Nf3	A30	Ouverture anglaise : Variante symétrique	English Opening: Symmetrical Variation
c4 c5 b4	A30	Ouverture anglaise : Gambit aile	English Opening: Wing Gambit
c4 e5 Nc3	A21	Ouverture anglaise : Variante King's anglaise, inversée Sicilian	English Opening: King's English Variation, Reversed Sicilian
c4 e5 Nf3	A20	Ouverture anglaise : Variante King's anglaise, Variante Nimzowitsch	English Opening: King's English Variation, Nimzowitsch Variation
c4 e6 Nf3	A13	Ouverture anglaise : Défense Agincourt	English Opening: Agincourt Defense
c4 f5 e4	A10	Ouverture anglaise : Défense Anglo-hollandaise, Gambit Hickmann	English Opening: Anglo-Dutch Defense, Hickmann Gambit
c4 f5 g4	A10	Ouverture anglaise : Gambit Wade	English Opening: Wade Gambit
d3 e5 Nd2	A00	Ouverture Valence	Valencia Opening
d3 g6 g4	A00	Ouverture Mieses : Attaque Myers Spike	Mieses Opening: Myers Spike Attack
d4 Nf6 Bf4	A45	Défense indienne : Système Accelerated London	Indian Defense: Accelerated London System
d4 Nf6 Bg5	A45	Attaque Trompowsky	Trompowsky Attack
d4 Nf6 Nf3	A46	Défense indienne : Variante cavaliers	Indian Defense: Knights Variation
d4 Nf6 b3	A45	Ouverture basque	Basque Opening
d4 Nf6 c4	A50	Défense indienne : Variante Normal	Indian Defense: Normal Variation
d4 Nf6 d5	A45	Défense indienne : Variante Pawn Push	Indian Defense: Pawn Push Variation
d4 Nf6 e4	A45	Défense indienne : Gambit Omega	Indian Defense: Omega Gambit
d4 Nf6 f3	A45	Attaque Paleface	Paleface Attack
d4 Nf6 f4	A45	Ouverture Canard	Canard Opening
d4 Nf6 g3	A45	Défense indienne : Attaque Tartakower	Indian Defense: Tartakower Attack
d4 Nf6 g4	A45	Défense indienne : Gambit Gibbins-Weidenhagen	Indian Defense: Gibbins-Weidenhagen Gambit
d4 c5 b4	A43	Défense Benoni : Gambit Zilbermints-Benoni	Benoni Defense: Zilbermints-Benoni Gambit
d4 c5 d5	A43	Défense Benoni : ancienne Benoni	Benoni Defense: Old Benoni
d4 c5 dxc5	A43	Défense Benoni : Benoni gambit accepté	Benoni Defense: Benoni Gambit Accepted
d4 d5 Bf4	D00	Partie du pion dame : Système Accelerated London	Queen's Pawn Game: Accelerated London System
d4 d5 Bg5	D00	Partie du pion dame : Attaque Levitsky	Queen's Pawn Game: Levitsky Attack
d4 d5 Nc3	D00	Partie du pion dame : Variante Chigorin	Queen's Pawn Game: Chigorin Variation
d4 d5 Nf3	D02	Partie du pion dame : Variante Zukertort	Queen's Pawn Game: Zukertort Variation
d4 d5 Qd3	D00	Attaque Amazone	Amazon Attack
d4 d5 c4	D06	Gambit dame	Queen's Gambit
d4 d5 e3	D00	Partie du pion dame	Queen's Pawn Game
d4 d5 e4	D00	Gambit Blackmar-Diemer	Blackmar-Diemer Gambit
d4 d5 f4	D00	Partie du pion dame : Attaque Mason	Queen's Pawn Game: Mason Attack
d4 d5 g4	D00	Partie du pion dame : Gambit Zurich	Queen's Pawn Game: Zurich Gambit
d4 d6 c4	A41	Ancienne défense indienne	Old Indian Defense
d4 e5 Nf3	A40	Gambit Englund refusé : inversée Alekhine	Englund Gambit Declined: Reversed Alekhine
d4 e5 d5	A40	Gambit Englund refusé	Englund Gambit Declined
d4 e5 e3	A40	Gambit Englund refusé : inversée française	Englund Gambit Declined: Reversed French
d4 f5 Bg5	A80	Défense hollandaise : Attaque Hopton	Dutch Defense: Hopton Attack
d4 f5 Nc3	A80	Défense hollandaise : Variante Raphael	Dutch Defense: Raphael Variation
d4 f5 Qd3	A80	Défense hollandaise : Variante Alapin	Dutch Defense: Alapin Variation
d4 f5 c4	A84	Défense hollandaise	Dutch Defense
d4 f5 e4	A82	Défense hollandaise : Gambit Staunton	Dutch Defense: Staunton Gambit
d4 f5 g3	A81	Défense hollandaise : Attaque fianchetto	Dutch Defense: Fianchetto Attack
d4 f5 g4	A80	Défense hollandaise : Gambit Krejcik	Dutch Defense: Krejcik Gambit
d4 f5 h3	A80	Défense hollandaise : Attaque Korchnoi	Dutch Defense: Korchnoi Attack
e4 Nc6 Bb5	B00	Défense Nimzowitsch : Variante Pseudo-espagnole	Nimzowitsch Defense: Pseudo-Spanish Variation
e4 Nc6 Nf3	B00	Défense Nimzowitsch : Variante refusé	Nimzowitsch Defense: Declined Variation
e4 Nc6 b4	B00	Défense Nimzowitsch : Gambit Wheeler	Nimzowitsch Defense: Wheeler Gambit
e4 Nc6 d4	B00	Défense Nimzowitsch	Nimzowitsch Defense
e4 Nf6 Bc4	B02	Défense Alekhine : Variante Krejcik	Alekhine Defense: Krejcik Variation
e4 Nf6 d3	B02	Défense Alekhine : Variante Maróczy	Alekhine Defense: Maróczy Variation
e4 c5 Bc4	B20	Défense sicilienne : Attaque Bowdler	Sicilian Defense: Bowdler Attack
e4 c5 Ke2	B20	Défense sicilienne : King David's ouverture	Sicilian Defense: King David's Opening
e4 c5 Na3	B20	Défense sicilienne : Variante Kronberger	Sicilian Defense: Kronberger Variation
e4 c5 Nc3	B23	Défense sicilienne : Closed	Sicilian Defense: Closed
e4 c5 Ne2	B20	Défense sicilienne : Variante Keres	Sicilian Defense: Keres Variation
e4 c5 Nf3	B27	Défense sicilienne	Sicilian Defense
e4 c5 Nh3	B20	Défense sicilienne : Variante Brick	Sicilian Defense: Brick Variation
e4 c5 Qg4	B20	Défense sicilienne : Attaque Amazon	Sicilian Defense: Amazon Attack
e4 c5 a3	B20	Défense sicilienne : Variante Mengarini	Sicilian Defense: Mengarini Variation
e4 c5 a4	B20	Défense sicilienne : Attaque Myers, avec a4	Sicilian Defense: Myers Attack, with a4
e4 c5 b3	B20	Défense sicilienne : Attaque Czerniak	Sicilian Defense: Czerniak Attack
e4 c5 b4	B20	Défense sicilienne : Gambit aile	Sicilian Defense: Wing Gambit
e4 c5 c3	B22	Défense sicilienne : Variante Alapin	Sicilian Defense: Alapin Variation
e4 c5 c4	B20	Défense sicilienne : Variante Staunton-Cochrane	Sicilian Defense: Staunton-Cochrane Variation
e4 c5 d4	B21	Défense sicilienne : Gambit Smith-Morra	Sicilian Defense: Smith-Morra Gambit
e4 c5 f4	B21	Défense sicilienne : Attaque McDonnell	Sicilian Defense: McDonnell Attack
e4 c5 g3	B20	Défense sicilienne : Attaque Lasker-Dunne	Sicilian Defense: Lasker-Dunne Attack
e4 c5 g4	B20	Défense sicilienne : Variante Grob	Sicilian Defense: Grob Variation
e4 c5 h4	B20	Défense sicilienne : Attaque Myers, avec h4	Sicilian Defense: Myers Attack, with h4
e4 c6 Bc4	B10	Défense Caro-Kann : Attaque Hillbilly	Caro-Kann Defense: Hillbilly Attack
e4 c6 Nc3	B10	Défense Caro-Kann	Caro-Kann Defense
e4 c6 b3	B10	Défense Caro-Kann : Attaque Euwe	Caro-Kann Defense: Euwe Attack
e4 c6 b4	B10	Défense Caro-Kann : Attaque Labahn	Caro-Kann Defense: Labahn Attack
e4 c6 c4	B10	Défense Caro-Kann : Attaque Accelerated Panov	Caro-Kann Defense: Accelerated Panov Attack
e4 c6 d3	B10	Défense Caro-Kann : Variante Breyer	Caro-Kann Defense: Breyer Variation
e4 c6 d4	B12	Défense Caro-Kann	Caro-Kann Defense
e4 c6 g4	B10	Défense Caro-Kann : Variante Spike	Caro-Kann Defense: Spike Variation
e4 d5 Nf3	A06	Ouverture Zukertort : Gambit Tennison	Zukertort Opening: Tennison Gambit
e4 d5 b3	B01	Défense scandinave	Scandinavian Defense
e4 d5 b4	B01	Défense scandinave : Gambit Zilbermints	Scandinavian Defense: Zilbermints Gambit
e4 d6 d4	B00	Défense Pirc	Pirc Defense
e4 d6 f4	B00	Défense Rat : Harmonist	Rat Defense: Harmonist
e4 d6 g4	B00	Défense Rat : Attaque Spike	Rat Defense: Spike Attack
e4 d6 h4	B00	Défense Rat : Attaque Petruccioli	Rat Defense: Petruccioli Attack
e4 e5 Bb5	C20	Ouverture portugaise	Portuguese Opening
e4 e5 Bc4	C23	Ouverture du fou	Bishop's Opening
e4 e5 Bd3	C20	Partie du pion roi : Tortoise ouverture	King's Pawn Game: Tortoise Opening
e4 e5 Ke2	C20	Attaque Bongcloud	Bongcloud Attack
e4 e5 Nc3	C25	Partie viennoise	Vienna Game
e4 e5 Ne2	C20	Partie du pion roi : Alapin ouverture	King's Pawn Game: Alapin Opening
e4 e5 Nf3	C40	Ouverture du cavalier-roi	King's Knight Opening
e4 e5 Qf3	C20	Partie du pion roi : Attaque Napoleon	King's Pawn Game: Napoleon Attack
e4 e5 Qh5	C20	Partie du pion roi : Attaque Wayward Queen	King's Pawn Game: Wayward Queen Attack
e4 e5 a3	C20	Partie du pion roi : Mengarini's ouverture	King's Pawn Game: Mengarini's Opening
e4 e5 b3	C20	Ouverture du pion roi	King's Pawn Opening
e4 e5 c3	C20	Partie du pion roi : Attaque MacLeod	King's Pawn Game: MacLeod Attack
e4 e5 c4	C20	Ouverture anglaise : The Whale	English Opening: The Whale
e4 e5 d3	C20	Partie du pion roi : Variante Leonardis	King's Pawn Game: Leonardis Variation
e4 e5 d4	C20	Partie du centre	Center Game
e4 e5 f3	C20	Partie du pion roi : King's Head ouverture	King's Pawn Game: King's Head Opening
e4 e5 f4	C30	Gambit du roi	King's Gambit
e4 e6 Bb5	C00	Défense française : Bird Invitation	French Defense: Bird Invitation
e4 e6 Nc3	C00	Défense française : Queen's cavalier	French Defense: Queen's Knight
e4 e6 Nf3	C00	Défense française : Variante cavalier	French Defense: Knight Variation
e4 e6 Qe2	C00	Défense française : Variante Chigorin	French Defense: Chigorin Variation
e4 e6 b3	C00	Défense française : Attaque Horwitz	French Defense: Horwitz Attack
e4 e6 b4	C00	Défense française : Gambit Banzai-Leong	French Defense: Banzai-Leong Gambit
e4 e6 c4	C00	Défense française : Variante Steiner	French Defense: Steiner Variation
e4 e6 d3	C00	Défense française : Attaque King's indienne	French Defense: King's Indian Attack
e4 e6 d4	C00	Défense française : Variante Normal	French Defense: Normal Variation
e4 e6 e5	C00	Défense française : Attaque Steinitz	French Defense: Steinitz Attack
e4 e6 f4	C00	Défense française : Variante La Bourdonnais	French Defense: La Bourdonnais Variation
e4 e6 g3	C00	Défense française : Attaque Réti-Spielmann	French Defense: Réti-Spielmann Attack
f3 e5 Kf2	A00	Ouverture Barnes : Hammerschlag	Barnes Opening: Hammerschlag
f4 Nf6 c4	A02	Ouverture de l'oiseau (Bird) : Mujannah	Bird Opening: Mujannah
f4 d5 c4	A03	Ouverture de l'oiseau (Bird) : Gambit Sturm	Bird Opening: Sturm Gambit
f4 d5 e4	A03	Ouverture de l'oiseau (Bird) : Gambit Williams	Bird Opening: Williams Gambit
f4 d5 g4	A03	Ouverture de l'oiseau (Bird) : Variante hollandaise, Gambit Dudweiler	Bird Opening: Dutch Variation, Dudweiler Gambit
f4 e5 Nc3	A02	Ouverture de l'oiseau (Bird) : Gambit From's, Gambit Bahr	Bird Opening: From's Gambit, Bahr Gambit
f4 f5 e4	A02	Ouverture de l'oiseau (Bird) : Gambit Wagner-Zwitersch	Bird Opening: Wagner-Zwitersch Gambit
g3 e5 Nf3	A00	Ouverture hongroise : inversée Alekhine	Hungarian Opening: Reversed Alekhine
g4 d5 Bg2	A00	Ouverture Grob : Gambit Grob	Grob Opening: Grob Gambit
g4 g5 f4	A00	Ouverture Grob : Double Grob, Gambit Coca-Cola	Grob Opening: Double Grob, Coca-Cola Gambit
h3 e5 a3	A00	Ouverture Global	Global Opening
h3 h5 g4	A00	Ouverture Clemenz : Gambit Spike Lee	Clemenz Opening: Spike Lee Gambit
h4 c5 b4	A00	Ouverture Kádas : Gambit Kádas	Kádas Opening: Kádas Gambit
h4 d5 Rh3	A00	Ouverture Kádas : Beginner's Trap	Kádas Opening: Beginner's Trap
Nc3 d5 f4 e5	A00	Ouverture Van Geet : Gambit Damhaug	Van Geet Opening: Damhaug Gambit
Nc3 d5 f4 g5	A00	Ouverture Van Geet : Gambit Warsteiner	Van Geet Opening: Warsteiner Gambit
Nc3 e5 Nf3 Bc5	A00	Ouverture Van Geet : Gambit Billockus-Johansen	Van Geet Opening: Billockus-Johansen Gambit
Nf3 Na6 e4 Nh6	A04	Ouverture Zukertort : Variante Drunken Cavalry	Zukertort Opening: Drunken Cavalry Variation
Nf3 Na6 e4 c5	A04	Défense Zukertort : Variante Sicilian cavalier	Zukertort Defense: Sicilian Knight Variation
Nf3 Nf6 Nc3 Nc6	A05	Ouverture Zukertort	Zukertort Opening
Nf3 Nf6 g3 b5	A05	Attaque indienne du roi : Variante Spassky	King's Indian Attack: Spassky Variation
Nf3 Nf6 g3 d5	A05	Attaque indienne du roi	King's Indian Attack
Nf3 Nf6 g3 g6	A05	Attaque indienne du roi : Défense symétrique	King's Indian Attack: Symmetrical Defense
Nf3 Nh6 d4 g6	A04	Défense Zukertort : Variante aile roi	Zukertort Defense: Kingside Variation
Nf3 d5 c4 b5	A09	Ouverture Réti : Gambit Zilbermints	Réti Opening: Zilbermints Gambit
Nf3 d5 c4 d4	A09	Ouverture Réti : Variante avancée	Réti Opening: Advance Variation
Nf3 d5 c4 dxc4	A09	Ouverture Réti : Réti accepté	Réti Opening: Réti Accepted
Nf3 d5 d4 Bg4	D02	Partie du pion dame : Anti-Torre	Queen's Pawn Game: Anti-Torre
Nf3 d5 g3 Bg4	A07	Attaque indienne du roi : Variante Keres	King's Indian Attack: Keres Variation
Nf3 d5 g3 c5	A07	Attaque indienne du roi : Variante Sicilian	King's Indian Attack: Sicilian Variation
Nf3 d5 g3 e5	A07	Attaque indienne du roi : Gambit Omega-Delta	King's Indian Attack: Omega-Delta Gambit
Nf3 d5 g3 g6	A07	Attaque indienne du roi : Double fianchetto	King's Indian Attack: Double Fianchetto
Nf3 d6 d4 e5	A04	Ouverture Zukertort : Gambit Vos	Zukertort Opening: Vos Gambit
Nf3 d6 e4 Bg4	A04	Ouverture Zukertort : Défense Wade	Zukertort Opening: Wade Defense
a4 b5 axb5 Bb7	A00	Ouverture Ware : Gambit aile	Ware Opening: Wing Gambit
b3 e5 Bb2 Nc6	A01	Attaque Nimzo-Larsen : Variante moderne	Nimzo-Larsen Attack: Modern Variation
b4 Nf6 Bb2 g6	A00	Ouverture polonaise (Orang-outan) : Variante King's indienne	Polish Opening: King's Indian Variation
b4 d5 Bb2 Bf5	A00	Ouverture polonaise (Orang-outan) : Défense Baltic	Polish Opening: Baltic Defense
b4 d5 Bb2 Qd6	A00	Ouverture polonaise (Orang-outan) : Défense allemande	Polish Opening: German Defense
b4 e5 Bb2 c5	A00	Ouverture polonaise (Orang-outan) : Gambit Wolferts	Polish Opening: Wolferts Gambit
b4 e5 Bb2 d6	A00	Ouverture polonaise (Orang-outan) : Défense tchèque	Polish Opening: Czech Defense
c4 Nf6 Nc3 d5	A16	Ouverture anglaise : Défense Anglo-Grünfeld	English Opening: Anglo-Grünfeld Defense
c4 Nf6 Nc3 e6	A17	Ouverture anglaise : Défense Anglo-indienne, Système Hedgehog	English Opening: Anglo-Indian Defense, Hedgehog System
c4 Nf6 Nf3 b6	A15	Ouverture anglaise : Défense Anglo-indienne, Formation Queen's indienne	English Opening: Anglo-Indian Defense, Queen's Indian Formation
c4 Nf6 Nf3 d5	A15	Ouverture anglaise : Défense Anglo-indienne, Défense scandinave	English Opening: Anglo-Indian Defense, Scandinavian Defense
c4 Nf6 Nf3 d6	A15	Ouverture anglaise : Défense Anglo-indienne, Formation ancienne indienne	English Opening: Anglo-Indian Defense, Old Indian Formation
c4 Nf6 Nf3 g6	A15	Ouverture anglaise : Défense Anglo-indienne, Formation King's indienne	English Opening: Anglo-Indian Defense, King's Indian Formation
c4 c5 Nc3 Nc6	A35	Ouverture anglaise : Variante symétrique, Variante deux cavaliers	English Opening: Symmetrical Variation, Two Knights Variation
c4 d5 cxd5 Nf6	A10	Ouverture anglaise : Défense Anglo-scandinave, Gambit Schulz	English Opening: Anglo-Scandinavian Defense, Schulz Gambit
c4 d5 cxd5 e6	A10	Ouverture anglaise : Défense Anglo-scandinave, Gambit Löhn	English Opening: Anglo-Scandinavian Defense, Löhn Gambit
